equipo,partido,ptiempo,con,segundos,tag_id,numero,x_pos,y_pos,heading,direction,energy,speed,total_distance.x,total_distance.y,high_intensity_distance,sprint_distance,total_effort,colour,total_effort_diff,total_energy_diff,total_dist_diff,total_sprint_diff
E1,P1,T2,0.761261574,69,13,10,21.1081,17.618,1.4134,1.74127,202.25,0.907549,241.842,242.18,0,0,204.34,#001EFF,0,0,0,0
E1,P1,T2,18:05:13,300,13,10,46.0728,45.6626,2.95807,2.45432,919.391,2.57155,771.083,772.488,13.4276,0,921.108,#001EFF,5.105,5.072,4.82,0
E1,P1,T2,18:10:13,600,13,10,9.76755,30.9322,-2.93144,2.53956,1605.46,2.20824,1404.09,1407.11,40.7061,0,1608.93,#001EFF,9.52,7.44,4.31,0
E1,P1,T2,18:40:13,900,13,10,46.0728,45.6626,2.95807,2.45432,919.391,2.57155,771.083,772.488,13.4276,0,921.108,#001EFF,5.105,5.072,4.82,0
E1,P1,T2,18:20:13,1200,13,10,35.2208,27.0334,-3.12693,-2.96693,3069.03,2.75098,2648.42,2648.56,79.2832,0,3069.05,#001EFF,6.28,6.29,4.53,0
E1,P1,T2,18:40:13,1500,13,10,46.0728,45.6626,2.95807,2.45432,919.391,2.57155,771.083,772.488,13.4276,0,921.108,#001EFF,5.105,5.072,4.82,0
E1,P1,T2,18:30:13,1800,13,10,32.3151,42.7958,2.42803,2.42875,4728.47,1.29633,3962.99,3963.86,172.037,40.6127,4729.26,#001EFF,1.29,1.15,1.82,0
E1,P1,T2,18:40:13,2100,13,10,46.0728,45.6626,2.95807,2.45432,919.391,2.57155,771.083,772.488,13.4276,0,921.108,#001EFF,5.105,5.072,4.82,0
E1,P1,T2,18:40:13,2400,13,10,49.3374,42.6811,0.969853,-1.6036,6521.3,3.02439,5262.66,5263.7,248.394,55.779,6522.45,#001EFF,6.78,8.29,10.39,0
E1,P1,T2,18:45:13,2700,13,10,36.6282,32.058,-0.215329,-2.31197,7160.36,3.09673,5862.1,5862.7,275.831,55.779,7161.27,#001EFF,2.29,4.36,1.25,0
E1,P1,T2,0.761273148,69,14,11,28.5255,17.5359,1.64091,-3.0381,190.648,0.572368,241.965,242.193,7.65163,0,190.706,#3C00FF,0,0,0,0
E1,P1,T2,18:05:14,300,14,11,61.784,62.469,-1.41189,-2.4446,989.461,3.86395,792.04,792.433,33.5425,11.2352,989.638,#3C00FF,6.344,7.573,2.996,0
