Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Dorados,Tigres,2,5,29,4,3,15,1,5,1,3,1,71,20,10,10,7,1,5,2,0,Visitante,16 de abr. 07:00 p. m.,Estadio Universitario,41435,0,98,Dorados Visitante,0.83108888,1.084207464
Leon,Puebla,4,1,44,28,12,13,5,6,1,2,0,56,13,7,11,6,8,3,2,0,Local,16 de abr. 08:06 p. m.,Estadio Leon,17719,1,57,Leon Local,0.79360838,0.822325538
Puebla,Leon,1,4,56,13,7,11,6,8,3,2,0,44,28,12,13,5,6,1,2,0,Visitante,16 de abr. 08:06 p. m.,Estadio Leon,17719,0,57,Puebla Visitante,1.163524432,0.609866699
Morelia,Pachuca,1,0,52,13,4,14,2,5,0,2,0,48,18,6,21,8,3,0,4,0,Local,16 de abr. 08:30 p. m.,Estadio Morelos,22372,1,54,Morelia Local,0.872969218,1.027906923
Pachuca,Morelia,0,1,48,18,6,21,8,3,0,4,0,52,13,4,14,2,5,0,2,0,Visitante,16 de abr. 08:30 p. m.,Estadio Morelos,22372,0,54,Pachuca Visitante,0.646402462,1.490785263
Chiapas,Pumas,1,2,59,16,5,16,6,3,3,0,1,41,10,5,17,6,3,5,0,0,Local,16 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,14685,0,49,Chiapas Local,0.39680419,1.130697615
Pumas,Chiapas,2,1,41,10,5,17,6,3,5,0,0,59,16,5,16,6,3,3,0,1,Visitante,16 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,14685,1,49,Pumas Visitante,1.200461716,0.542103732
Guadalajara,Atlas,1,0,54,16,4,14,4,4,3,0,0,46,14,4,16,6,3,3,3,0,Local,17 de abr. 05:00 p. m.,Estadio Chivas,39979,1,80,Guadalajara Local,0.555525866,1.747441769
Atlas,Guadalajara,0,1,46,14,4,16,6,3,3,3,0,54,16,4,14,4,4,3,0,0,Visitante,17 de abr. 05:00 p. m.,Estadio Chivas,39979,0,80,Atlas Visitante,1.246633321,0.731840038
Pumas,Tijuana,3,1,52,15,11,20,2,5,2,1,0,48,18,6,6,6,8,1,3,0,Local,22 de abr. 08:00 p. m.,Estadio Olimpico Universitario,20134,1,29,Pumas Local,0.917058572,0.730956034
Tijuana,Pumas,1,3,48,18,6,6,6,8,1,3,0,52,15,11,20,2,5,2,1,0,Visitante,22 de abr. 08:00 p. m.,Estadio Olimpico Universitario,20134,0,29,Tijuana Visitante,1.579068873,1.036773388
Veracruz,Cruz Azul,2,1,38,12,3,16,2,2,0,2,0,62,12,3,10,6,1,0,3,0,Local,22 de abr. 09:30 p. m.,Estadio Luis Pirata Fuente,27630,1,92,Veracruz Local,0.775972638,1.736020581
Cruz Azul,Veracruz,1,2,62,12,3,10,6,1,0,3,0,38,12,3,16,2,2,0,2,0,Visitante,22 de abr. 09:30 p. m.,Estadio Luis Pirata Fuente,27630,0,92,Cruz Azul Visitante,1.200461716,1.016444498
America,Toluca,0,1,63,17,6,20,10,5,0,2,0,37,11,5,12,3,6,0,3,0,Local,23 de abr. 05:00 p. m.,Azteca Stadium,30325,0,29,America Local,1.385207354,1.121353007
Toluca,America,1,0,37,11,5,12,3,6,0,3,0,63,17,6,20,10,5,0,2,0,Visitante,23 de abr. 05:00 p. m.,Azteca Stadium,30325,1,29,Toluca Visitante,1.329742209,0.609866699
Santos Laguna,Tigres,2,1,34,8,2,13,1,0,4,3,0,66,17,7,17,10,0,2,1,0,Local,23 de abr. 07:00 p. m.,Estadio Corona,29356,1,98,Santos Laguna Local,0.761864044,0.904558092
Tigres,Santos Laguna,1,2,66,17,7,17,10,0,2,1,0,34,8,2,13,1,0,4,3,0,Visitante,23 de abr. 07:00 p. m.,Estadio Corona,29356,0,98,Tigres Visitante,2.039945434,0.665309126
Monterrey,Queretaro,3,2,49,14,9,12,6,2,2,2,1,51,17,4,17,5,6,4,4,0,Local,23 de abr. 07:00 p. m.,Estadio BBVA Bancomer,49570,1,93,Monterrey Local,1.058144506,1.461912068
Queretaro,Monterrey,2,3,51,17,4,17,5,6,4,4,0,49,14,9,12,6,2,2,2,1,Visitante,23 de abr. 07:00 p. m.,Estadio BBVA Bancomer,49570,0,93,Queretaro Visitante,1.81328483,0.720751553
Pachuca,Guadalajara,1,1,45,9,1,21,3,0,0,1,1,55,11,3,17,1,0,0,3,1,Local,23 de abr. 08:06 p. m.,Estadio Hidalgo,27230,0,91,Pachuca Local,0.49380077,2.010129094
Guadalajara,Pachuca,1,1,55,11,3,17,1,0,0,3,1,45,9,1,21,3,0,0,1,1,Visitante,23 de abr. 08:06 p. m.,Estadio Hidalgo,27230,0,91,Guadalajara Visitante,0.72720277,1.295966735
Atlas,Leon,1,1,45,7,2,14,3,4,4,2,0,55,16,5,11,5,1,2,1,0,Local,23 de abr. 08:30 p. m.,Estadio Jalisco,27207,0,48,Atlas Local,0.952330056,0.986790646
Leon,Atlas,1,1,55,16,5,11,5,1,2,1,0,45,7,2,14,3,4,4,2,0,Visitante,23 de abr. 08:30 p. m.,Estadio Jalisco,27207,0,48,Leon Visitante,1.0388611,0.609866699
Dorados,Morelia,1,0,43,17,8,17,2,5,1,1,0,57,14,5,14,2,7,1,0,0,Local,23 de abr. 09:00 p. m.,Estadio Banorte,15333,1,67,Dorados Local,0.634886704,1.461912068
Morelia,Dorados,0,1,57,14,5,14,2,7,1,0,0,43,17,8,17,2,5,1,1,0,Visitante,23 de abr. 09:00 p. m.,Estadio Banorte,15333,0,67,Morelia Visitante,1.14274721,0.762333373
Puebla,Chiapas,2,1,52,17,3,9,7,1,3,2,0,48,10,2,15,2,1,2,3,0,Local,24 de abr. 05:00 p. m.,Estadio Cuauhtemoc,20744,1,40,Puebla Local,0.888841385,0.822325538
Chiapas,Puebla,1,2,48,10,2,15,2,1,2,3,0,52,17,3,9,7,1,3,2,0,Visitante,24 de abr. 05:00 p. m.,Estadio Cuauhtemoc,20744,0,40,Chiapas Visitante,0.51943055,0.838566711
Queretaro,Pumas,2,1,47,23,7,14,10,2,1,2,0,53,11,3,8,2,5,2,1,0,Local,29 de abr. 07:30 p. m.,La Corregidora,31276,1,88,Queretaro Local,1.385207354,0.971839273
Pumas,Queretaro,1,2,53,11,3,8,2,5,2,1,0,47,23,7,14,10,2,1,2,0,Visitante,29 de abr. 07:30 p. m.,La Corregidora,31276,0,88,Pumas Visitante,1.200461716,0.542103732
Tijuana,Puebla,0,0,52,23,3,10,0,4,0,1,0,48,7,4,15,0,3,0,2,0,Local,29 de abr. 09:30 p. m.,Estadio Caliente,26533,0,90,Tijuana Local,1.206284737,1.397953415
Puebla,Tijuana,0,0,48,7,4,15,0,3,0,2,0,52,23,3,10,0,4,0,1,0,Visitante,29 de abr. 09:30 p. m.,Estadio Caliente,26533,0,90,Puebla Visitante,1.163524432,0.609866699
America,Monterrey,3,3,52,14,6,14,4,2,0,4,0,48,15,5,14,3,3,0,3,0,Local,30 de abr. 05:00 p. m.,Azteca Stadium,36147,0,35,America Local,1.385207354,1.121353007
Monterrey,America,3,3,48,15,5,14,3,3,0,3,0,52,14,6,14,4,2,0,4,0,Visitante,30 de abr. 05:00 p. m.,Azteca Stadium,36147,0,35,Monterrey Visitante,1.385148134,1.084207464
Tigres,Veracruz,0,0,72,24,6,16,16,2,0,2,0,28,5,2,14,1,7,0,4,0,Local,30 de abr. 07:00 p. m.,Estadio Universitario,41381,0,98,Tigres Local,1.558358273,0.897082406
Veracruz,Tigres,0,0,28,5,2,14,1,7,0,4,0,72,24,6,16,16,2,0,2,0,Visitante,30 de abr. 07:00 p. m.,Estadio Universitario,41381,0,98,Veracruz Visitante,1.015775298,1.287496364
Leon,Pachuca,0,0,54,14,4,14,7,4,1,2,0,46,10,4,14,5,4,5,2,0,Local,30 de abr. 08:06 p. m.,Estadio Leon,17262,0,56,Leon Local,0.79360838,0.822325538
Pachuca,Leon,0,0,46,10,4,14,5,4,5,2,0,54,14,4,14,7,4,1,2,0,Visitante,30 de abr. 08:06 p. m.,Estadio Leon,17262,0,56,Pachuca Visitante,0.646402462,1.490785263
Morelia,Santos Laguna,3,2,58,13,6,10,4,4,0,1,0,42,9,6,12,9,3,0,3,0,Local,30 de abr. 08:30 p. m.,Estadio Morelos,24013,1,58,Morelia Local,0.872969218,1.027906923
Santos Laguna,Morelia,2,3,42,9,6,12,9,3,0,3,0,58,13,6,10,4,4,0,1,0,Visitante,30 de abr. 08:30 p. m.,Estadio Morelos,24013,0,58,Santos Laguna Visitante,0.997306656,0.670853368
Chiapas,Atlas,0,3,35,12,5,8,6,4,0,3,0,65,10,7,16,1,5,0,1,0,Local,30 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,8716,0,29,Chiapas Local,0.39680419,1.130697615
Atlas,Chiapas,3,0,65,10,7,16,1,5,0,1,0,35,12,5,8,6,4,0,3,0,Visitante,30 de abr. 09:00 p. m.,Estadio Victor Manuel Reyna,8716,1,29,Atlas Visitante,1.246633321,0.731840038
Toluca,Cruz Azul,0,2,48,14,3,15,6,6,0,2,0,52,21,8,6,10,3,0,3,0,Local,1 de may. 12:00 p. m.,Estadio Nemesio Diez Riega,14480,0,54,Toluca Local,1.015818726,0.822325538
Cruz Azul,Toluca,2,0,52,21,8,6,10,3,0,3,0,48,14,3,15,6,6,0,2,0,Visitante,1 de may. 12:00 p. m.,Estadio Nemesio Diez Riega,14480,1,54,Cruz Azul Visitante,1.200461716,1.016444498
Guadalajara,Dorados,2,1,58,14,4,15,1,5,2,3,0,42,12,6,17,1,2,2,2,0,Local,1 de may. 05:00 p. m.,Estadio Chivas,37862,1,76,Guadalajara Local,0.555525866,1.747441769
Dorados,Guadalajara,1,2,42,12,6,17,1,2,2,2,0,58,14,4,15,1,5,2,3,0,Visitante,1 de may. 05:00 p. m.,Estadio Chivas,37862,0,76,Dorados Visitante,0.83108888,1.084207464
Veracruz,Morelia,1,2,36,10,3,14,5,5,1,1,0,64,13,7,20,1,2,1,3,0,Local,6 de may. 07:30 p. m.,Estadio Luis Pirata Fuente,15273,0,51,Veracruz Local,0.775972638,1.736020581
Morelia,Veracruz,2,1,64,13,7,20,1,2,1,3,0,36,10,3,14,5,5,1,1,0,Visitante,6 de may. 07:30 p. m.,Estadio Luis Pirata Fuente,15273,1,51,Morelia Visitante,1.14274721,0.762333373
Santos Laguna,Guadalajara,0,1,41,13,4,11,2,3,0,2,1,59,16,4,20,6,4,0,3,0,Local,6 de may. 09:30 p. m.,Estadio Corona,29327,0,98,Santos Laguna Local,0.761864044,0.904558092
Guadalajara,Santos Laguna,1,0,59,16,4,20,6,4,0,3,0,41,13,4,11,2,3,0,2,1,Visitante,6 de may. 09:30 p. m.,Estadio Corona,29327,1,98,Guadalajara Visitante,0.72720277,1.295966735
Cruz Azul,Tigres,0,3,45,10,2,16,7,1,2,3,1,55,12,4,16,5,2,2,4,0,Local,7 de may. 05:00 p. m.,Estadio Azul,26920,0,73,Cruz Azul Local,0.917058572,1.370542564
Tigres,Cruz Azul,3,0,55,12,4,16,5,2,2,4,0,45,10,2,16,7,1,2,3,1,Visitante,7 de may. 05:00 p. m.,Estadio Azul,26920,1,73,Tigres Visitante,2.039945434,0.665309126
Monterrey,Toluca,1,2,50,20,6,8,7,3,0,1,0,50,12,5,16,8,5,0,1,0,Local,7 de may. 07:00 p. m.,Estadio BBVA Bancomer,48856,0,91,Monterrey Local,1.058144506,1.461912068
Toluca,Monterrey,2,1,50,12,5,16,8,5,0,1,0,50,20,6,8,7,3,0,1,0,Visitante,7 de may. 07:00 p. m.,Estadio BBVA Bancomer,48856,1,91,Toluca Visitante,1.329742209,0.609866699
Pachuca,Chiapas,2,1,60,19,4,17,6,1,0,1,1,40,9,2,13,2,2,0,2,0,Local,7 de may. 08:06 p. m.,Estadio Hidalgo,25130,1,84,Pachuca Local,0.49380077,2.010129094
Chiapas,Pachuca,1,2,40,9,2,13,2,2,0,2,0,60,19,4,17,6,1,0,1,1,Visitante,7 de may. 08:06 p. m.,Estadio Hidalgo,25130,0,84,Chiapas Visitante,0.51943055,0.838566711
Atlas,Tijuana,0,0,38,9,4,15,1,3,1,1,1,62,14,3,16,10,4,1,2,0,Local,7 de may. 08:30 p. m.,Estadio Jalisco,27061,0,48,Atlas Local,0.952330056,0.986790646
Tijuana,Atlas,0,0,62,14,3,16,10,4,1,2,0,38,9,4,15,1,3,1,1,1,Visitante,7 de may. 08:30 p. m.,Estadio Jalisco,27061,0,48,Tijuana Visitante,1.579068873,1.036773388
Dorados,Leon,0,1,49,17,4,10,2,4,5,0,1,51,16,5,18,5,4,4,2,0,Local,7 de may. 09:00 p. m.,Estadio Banorte,13333,0,58,Dorados Local,0.634886704,1.461912068
Leon,Dorados,1,0,51,16,5,18,5,4,4,2,0,49,17,4,10,2,4,5,0,1,Visitante,7 de may. 09:00 p. m.,Estadio Banorte,13333,1,58,Leon Visitante,1.0388611,0.609866699
Pumas,America,1,1,41,12,3,13,5,5,0,2,0,59,17,7,20,7,2,0,4,1,Local,8 de may. 12:00 p. m.,Estadio Olimpico Universitario,36719,0,53,Pumas Local,0.917058572,0.730956034
America,Pumas,1,1,59,17,7,20,7,2,0,4,1,41,12,3,13,5,5,0,2,0,Visitante,8 de may. 12:00 p. m.,Estadio Olimpico Universitario,36719,0,53,America Visitante,1.81328483,0.831636407
Puebla,Queretaro,3,1,42,16,9,7,1,7,3,0,0,58,29,8,9,7,6,1,0,0,Local,8 de may. 05:00 p. m.,Estadio Cuauhtemoc,17444,1,34,Puebla Local,0.888841385,0.822325538
Queretaro,Puebla,1,3,58,29,8,9,7,6,1,0,0,42,16,9,7,1,7,3,0,0,Visitante,8 de may. 05:00 p. m.,Estadio Cuauhtemoc,17444,0,34,Queretaro Visitante,1.81328483,0.720751553
Tigres,Monterrey,1,3,68,20,6,16,11,2,0,3,0,32,6,5,19,1,5,0,3,0,Local,11 de may. 07:00 p. m.,Estadio Universitario,41562,0,98,Tigres Local,1.558358273,0.897082406
Monterrey,Tigres,3,1,32,6,5,19,1,5,0,3,0,68,20,6,16,11,2,0,3,0,Visitante,11 de may. 07:00 p. m.,Estadio Universitario,41562,1,98,Monterrey Visitante,1.385148134,1.084207464
Morelia,Leon,1,1,57,11,6,17,3,2,0,1,0,43,10,3,26,5,5,0,4,0,Local,11 de may. 09:00 p. m.,Estadio Morelos,20820,0,50,Morelia Local,0.872969218,1.027906923
Leon,Morelia,1,1,43,10,3,26,5,5,0,4,0,57,11,6,17,3,2,0,1,0,Visitante,11 de may. 09:00 p. m.,Estadio Morelos,20820,0,50,Leon Visitante,1.0388611,0.609866699
Santos Laguna,Pachuca,1,1,40,10,1,16,4,0,0,3,0,60,15,2,18,6,0,0,1,0,Local,12 de may. 07:00 p. m.,Estadio Corona,20357,0,68,Santos Laguna Local,0.761864044,0.904558092
Pachuca,Santos Laguna,1,1,60,15,2,18,6,0,0,1,0,40,10,1,16,4,0,0,3,0,Visitante,12 de may. 07:00 p. m.,Estadio Corona,20357,0,68,Pachuca Visitante,0.646402462,1.490785263
Guadalajara,America,0,0,60,18,1,15,3,5,0,2,1,40,13,5,18,5,1,0,3,1,Local,12 de may. 09:00 p. m.,Estadio Chivas,42311,0,85,Guadalajara Local,0.555525866,1.747441769
America,Guadalajara,0,0,40,13,5,18,5,1,0,3,1,60,18,1,15,3,5,0,2,1,Visitante,12 de may. 09:00 p. m.,Estadio Chivas,42311,0,85,America Visitante,1.81328483,0.831636407
Monterrey,Tigres,1,2,46,20,9,14,4,3,2,1,0,54,9,5,19,6,8,1,4,1,Local,14 de may. 07:00 p. m.,Estadio BBVA Bancomer,50302,0,94,Monterrey Local,1.058144506,1.461912068
Tigres,Monterrey,2,1,54,9,5,19,6,8,1,4,1,46,20,9,14,4,3,2,1,0,Visitante,14 de may. 07:00 p. m.,Estadio BBVA Bancomer,50302,1,94,Tigres Visitante,2.039945434,0.665309126
Leon,Morelia,4,1,43,15,9,17,6,4,3,1,0,57,10,5,13,3,5,2,3,0,Local,14 de may. 09:06 p. m.,Estadio Leon,17450,1,56,Leon Local,0.79360838,0.822325538
Morelia,Leon,1,4,57,10,5,13,3,5,2,3,0,43,15,9,17,6,4,3,1,0,Visitante,14 de may. 09:06 p. m.,Estadio Leon,17450,0,56,Morelia Visitante,1.14274721,0.762333373
America,Guadalajara,2,1,48,16,4,18,8,2,0,3,0,52,14,3,11,9,2,0,3,0,Local,15 de may. 06:00 p. m.,Azteca Stadium,65075,1,63,America Local,1.385207354,1.121353007
Guadalajara,America,1,2,52,14,3,11,9,2,0,3,0,48,16,4,18,8,2,0,3,0,Visitante,15 de may. 06:00 p. m.,Azteca Stadium,65075,0,63,Guadalajara Visitante,0.72720277,1.295966735
Pachuca,Santos Laguna,3,2,51,23,8,14,5,5,3,3,0,49,15,8,12,3,5,1,5,0,Local,15 de may. 08:06 p. m.,Estadio Hidalgo,26577,1,89,Pachuca Local,0.49380077,2.010129094
Santos Laguna,Pachuca,2,3,49,15,8,12,3,5,1,5,0,51,23,8,14,5,5,3,3,0,Visitante,15 de may. 08:06 p. m.,Estadio Hidalgo,26577,0,89,Santos Laguna Visitante,0.997306656,0.670853368
America,Monterrey,1,0,42,17,7,17,9,3,3,3,0,58,18,3,15,6,6,3,3,0,Local,18 de may. 08:30 p. m.,Azteca Stadium,61547,1,60,America Local,1.385207354,1.121353007
Monterrey,America,0,1,58,18,3,15,6,6,3,3,0,42,17,7,17,9,3,3,3,0,Visitante,18 de may. 08:30 p. m.,Azteca Stadium,61547,0,60,Monterrey Visitante,1.385148134,1.084207464
Leon,Pachuca,1,1,56,15,6,14,4,3,2,2,0,44,12,4,16,3,5,1,3,0,Local,19 de may. 08:06 p. m.,Estadio Leon,18895,0,61,Leon Local,0.79360838,0.822325538
Pachuca,Leon,1,1,44,12,4,16,3,5,1,3,0,56,15,6,14,4,3,2,2,0,Visitante,19 de may. 08:06 p. m.,Estadio Leon,18895,0,61,Pachuca Visitante,0.646402462,1.490785263
Monterrey,America,4,2,49,24,7,13,6,3,1,1,0,51,13,5,10,6,3,1,6,2,Local,21 de may. 08:30 p. m.,Estadio BBVA Bancomer,50302,1,94,Monterrey Local,1.058144506,1.461912068
America,Monterrey,2,4,51,13,5,10,6,3,1,6,2,49,24,7,13,6,3,1,1,0,Visitante,21 de may. 08:30 p. m.,Estadio BBVA Bancomer,50302,0,94,America Visitante,1.81328483,0.831636407
Pachuca,Leon,2,1,44,16,5,12,3,5,2,3,0,56,13,6,13,7,4,2,4,0,Local,22 de may. 08:06 p. m.,Estadio Hidalgo,27512,1,92,Pachuca Local,0.49380077,2.010129094
Leon,Pachuca,1,2,56,13,6,13,7,4,2,4,0,44,16,5,12,3,5,2,3,0,Visitante,22 de may. 08:06 p. m.,Estadio Hidalgo,27512,0,92,Leon Visitante,1.0388611,0.609866699
