Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Puebla,Monterrey,1,3,65,8,2,7,3,5,3,3,0,35,16,8,17,7,1,4,0,0,Local,17 de ene. 05:00 p. m.,Estadio Cuauhtemoc,32125,0,62,Puebla Local,0.888841385,0.822325538
Monterrey,Puebla,3,1,35,16,8,17,7,1,4,0,0,65,8,2,7,3,5,3,3,0,Visitante,17 de ene. 05:00 p. m.,Estadio Cuauhtemoc,32125,1,62,Monterrey Visitante,1.385148134,1.084207464
Queretaro,Dorados,3,0,34,9,4,23,3,3,0,3,0,66,14,3,15,3,1,0,1,0,Local,22 de ene. 07:30 p. m.,La Corregidora,19418,1,55,Queretaro Local,1.385207354,0.971839273
Dorados,Queretaro,0,3,66,14,3,15,3,1,0,1,0,34,9,4,23,3,3,0,3,0,Visitante,22 de ene. 07:30 p. m.,La Corregidora,19418,0,55,Dorados Visitante,0.83108888,1.084207464
Tijuana,Santos Laguna,1,3,61,14,4,14,6,4,0,3,0,39,14,7,11,2,3,0,3,0,Local,22 de ene. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Santos Laguna,Tijuana,3,1,39,14,7,11,2,3,0,3,0,61,14,4,14,6,4,0,3,0,Visitante,22 de ene. 09:30 p. m.,Estadio Caliente,27333,1,93,Santos Laguna Visitante,0.997306656,0.670853368
America,Pachuca,1,4,60,20,5,14,6,3,2,3,0,40,9,6,26,3,3,3,6,0,Local,23 de ene. 05:00 p. m.,Azteca Stadium,34885,0,34,America Local,1.385207354,1.121353007
Pachuca,America,4,1,40,9,6,26,3,3,3,6,0,60,20,5,14,6,3,2,3,0,Visitante,23 de ene. 05:00 p. m.,Azteca Stadium,34885,1,34,Pachuca Visitante,0.646402462,1.490785263
Monterrey,Atlas,1,0,56,17,3,17,9,4,2,2,0,44,14,4,19,4,2,2,5,0,Local,23 de ene. 07:00 p. m.,Estadio BBVA Bancomer,50053,1,94,Monterrey Local,1.058144506,1.461912068
Atlas,Monterrey,0,1,44,14,4,19,4,2,2,5,0,56,17,3,17,9,4,2,2,0,Visitante,23 de ene. 07:00 p. m.,Estadio BBVA Bancomer,50053,0,94,Atlas Visitante,1.246633321,0.731840038
Leon,Cruz Azul,3,2,50,13,5,9,3,6,0,2,0,50,18,9,20,8,2,0,5,0,Local,23 de ene. 08:06 p. m.,Estadio Leon,25047,1,81,Leon Local,0.79360838,0.822325538
Cruz Azul,Leon,2,3,50,18,9,20,8,2,0,5,0,50,13,5,9,3,6,0,2,0,Visitante,23 de ene. 08:06 p. m.,Estadio Leon,25047,0,81,Cruz Azul Visitante,1.200461716,1.016444498
Morelia,Toluca,1,1,60,15,3,9,7,3,3,1,0,40,13,4,23,7,3,5,4,0,Local,23 de ene. 08:30 p. m.,Estadio Morelos,23248,0,56,Morelia Local,0.872969218,1.027906923
Toluca,Morelia,1,1,40,13,4,23,7,3,5,4,0,60,15,3,9,7,3,3,1,0,Visitante,23 de ene. 08:30 p. m.,Estadio Morelos,23248,0,56,Toluca Visitante,1.329742209,0.609866699
Chiapas,Veracruz,1,1,59,12,4,16,8,1,0,3,0,41,8,2,16,8,3,0,2,0,Local,23 de ene. 09:00 p. m.,Estadio Cuauhtemoc,11872,0,23,Chiapas Local,0.39680419,1.130697615
Veracruz,Chiapas,1,1,41,8,2,16,8,3,0,2,0,59,12,4,16,8,1,0,3,0,Visitante,23 de ene. 09:00 p. m.,Estadio Cuauhtemoc,11872,0,23,Veracruz Visitante,1.015775298,1.287496364
Pumas,Puebla,0,1,48,23,5,13,12,1,1,0,0,52,12,2,11,3,5,2,1,1,Local,24 de ene. 12:00 p. m.,Estadio Olimpico Universitario,20428,0,30,Pumas Local,0.917058572,0.730956034
Puebla,Pumas,1,0,52,12,2,11,3,5,2,1,1,48,23,5,13,12,1,1,0,0,Visitante,24 de ene. 12:00 p. m.,Estadio Olimpico Universitario,20428,1,30,Puebla Visitante,1.163524432,0.609866699
Guadalajara,Tigres,2,2,47,12,6,11,3,2,0,2,0,53,14,4,16,2,4,0,4,0,Local,24 de ene. 05:00 p. m.,Estadio Chivas,38992,0,78,Guadalajara Local,0.555525866,1.747441769
Tigres,Guadalajara,2,2,53,14,4,16,2,4,0,4,0,47,12,6,11,3,2,0,2,0,Visitante,24 de ene. 05:00 p. m.,Estadio Chivas,38992,0,78,Tigres Visitante,2.039945434,0.665309126
Santos Laguna,Queretaro,2,0,54,14,6,6,4,1,0,0,0,46,9,1,11,3,4,0,1,0,Local,29 de ene. 09:30 p. m.,Estadio Corona,20994,1,70,Santos Laguna Local,0.761864044,0.904558092
Queretaro,Santos Laguna,0,2,46,9,1,11,3,4,0,1,0,54,14,6,6,4,1,0,0,0,Visitante,29 de ene. 09:30 p. m.,Estadio Corona,20994,0,70,Queretaro Visitante,1.81328483,0.720751553
Veracruz,Tijuana,2,2,66,14,5,14,10,1,1,2,0,34,7,3,12,2,3,1,3,1,Local,29 de ene. 09:30 p. m.,Estadio Luis Pirata Fuente,19535,0,65,Veracruz Local,0.775972638,1.736020581
Tijuana,Veracruz,2,2,34,7,3,12,2,3,1,3,1,66,14,5,14,10,1,1,2,0,Visitante,29 de ene. 09:30 p. m.,Estadio Luis Pirata Fuente,19535,0,65,Tijuana Visitante,1.579068873,1.036773388
Cruz Azul,Chiapas,2,1,46,17,4,11,2,5,4,2,1,54,11,6,17,7,2,4,2,0,Local,30 de ene. 05:00 p. m.,Estadio Azul,18438,1,50,Cruz Azul Local,0.917058572,1.370542564
Chiapas,Cruz Azul,1,2,54,11,6,17,7,2,4,2,0,46,17,4,11,2,5,4,2,1,Visitante,30 de ene. 05:00 p. m.,Estadio Azul,18438,0,50,Chiapas Visitante,0.51943055,0.838566711
Morelia,Guadalajara,2,0,44,16,4,12,2,4,2,3,0,56,15,4,17,11,2,3,2,1,Local,30 de ene. 06:30 p. m.,Estadio Morelos,29240,1,70,Morelia Local,0.872969218,1.027906923
Guadalajara,Morelia,0,2,56,15,4,17,11,2,3,2,1,44,16,4,12,2,4,2,3,0,Visitante,30 de ene. 06:30 p. m.,Estadio Morelos,29240,0,70,Guadalajara Visitante,0.72720277,1.295966735
Tigres,Leon,3,1,54,23,12,17,9,3,2,1,0,46,14,4,19,3,9,5,4,0,Local,30 de ene. 07:00 p. m.,Estadio Universitario,41427,1,98,Tigres Local,1.558358273,0.897082406
Leon,Tigres,1,3,46,14,4,19,3,9,5,4,0,54,23,12,17,9,3,2,1,0,Visitante,30 de ene. 07:00 p. m.,Estadio Universitario,41427,0,98,Leon Visitante,1.0388611,0.609866699
